Node01.gx,Node01.gy,Node01.gz,Node01.rx,Node01.ry,Node01.rz,Node01.lax,Node01.lay,Node01.laz,Node02.gx,Node02.gy,Node02.gz,Node02.rx,Node02.ry,Node02.rz,Node02.lax,Node02.lay,Node02.laz
0.00895092,-0.08230999,0.10624926,0.90490419,1.22468483,2.24047518,0.26949015,0.05518695,0.9603883,0.02456046,0.03932346,-0.18222485,-1.69060445,0.20300519,3.09441137,0.03300092,0.11806727,-0.99788117
0.00924757,-0.08213285,-0.03280704,0.904948,1.22465134,2.24051523,0.27006459,0.05537405,0.9607656,-0.0361422,-0.02158729,-0.06027347,-1.69060814,0.20296006,3.09440184,0.03318743,0.11902136,-0.99768806
0.07879907,-0.0126906,0.03683232,0.9049679,1.2246449,2.24052167,0.27025607,0.05612245,0.9603883,-0.09716164,-0.02133637,-0.06027518,-1.690624,0.20295006,3.09440684,0.03318743,0.11902136,-0.997495
0.1483506,0.05690206,0.03690645,0.90506244,1.22462821,2.24059939,0.27006459,0.05649665,0.9603883,-0.09741484,-0.14340995,0.00084778,-1.69063938,0.20295349,3.09442616,0.03356044,0.11921218,-0.9969157
0.07856559,-0.01248489,0.03682269,0.9050824,1.22462189,2.24060607,0.26987311,0.05630955,0.9603883,-0.03690094,-0.08292438,0.00084571,-1.69064283,0.20295537,3.0944407,0.03318743,0.11959381,-0.99710882
-0.06068115,0.05740983,0.10614595,0.90515846,1.22459674,2.24070191,0.27025607,0.05630955,0.9603883,-0.09802389,-0.02169564,-0.05998428,-1.69065893,0.20294543,3.09444594,0.03356044,0.1205479,-0.99710882
0.00866513,-0.012432,-0.03306786,0.90514535,1.22459996,2.24068642,0.27025607,0.05612245,0.9603883,-0.0372982,-0.02181513,0.0011387,-1.69066465,0.20294608,3.09444976,0.03356044,0.12016626,-0.9969157
0.00854951,-0.08166625,-0.03299234,0.90516067,1.22457194,2.24070501,0.27025607,0.05630955,0.9607656,0.08440476,0.03904225,-0.05969153,-1.69065559,0.20295788,3.09443069,0.03374695,0.12016626,-0.99730188
0.00843415,-0.01192227,0.0369668,0.90516859,1.22456563,2.24071193,0.26987311,0.05556115,0.96001107,0.14523649,-0.02186754,0.00128187,-1.69062948,0.20295855,3.0944345,0.03337394,0.11921218,-0.997495
0.00831905,-0.08146133,-0.03220458,0.90514982,1.22454679,2.24069881,0.27025607,0.05630955,0.9603883,0.20596415,-0.02161535,-0.12067436,-1.69059908,0.20297959,3.09443402,0.03337394,0.11997545,-0.99730188
0.00810165,-0.01186995,-0.03213057,0.90513712,1.22454989,2.24068379,0.26968163,0.05612245,0.9603883,0.14463505,-0.02154953,-0.05955113,-1.69057274,0.20296973,3.09443903,0.03300092,0.11921218,-0.99730188
0.07755245,0.05772143,-0.0317362,0.90522927,1.2245357,2.24076605,0.26987311,0.05518695,0.96057695,0.08341122,0.10046919,-0.05955464,-1.69056392,0.20295283,3.09441829,0.03281441,0.11902136,-0.997495
-0.06158975,-0.08122913,-0.03166297,0.90517819,1.22453129,2.24072313,0.26968163,0.05556115,0.9607656,0.14414117,-0.02141845,0.0014184,-1.69053805,0.20295353,3.0944221,0.0324414,0.11921218,-0.99768806
0.00786141,-0.01148403,-0.03158977,0.90518552,1.22452283,2.2407341,0.26949015,0.05537405,0.96057695,0.02183816,0.03943755,0.06224089,-1.69053841,0.20296668,3.09441185,0.03300092,0.11844891,-0.99768806
-0.06171536,-0.01145854,-0.03151658,0.90516096,1.22452593,2.24071932,0.26910719,0.05556115,0.96057695,0.14375404,-0.08244988,-0.05986609,-1.69051015,0.20295802,3.09442759,0.03281441,0.11825809,-0.99846041
0.00783833,0.05813217,-0.10100864,0.90517318,1.22453332,2.24074006,0.26929867,0.05574825,0.9603883,0.14371692,0.03975453,0.06208424,-1.69048858,0.20300134,3.09441495,0.03225489,0.11806727,-0.99788117
0.00762266,-0.08112788,0.03819493,0.90515506,1.22451937,2.24071932,0.26910719,0.05612245,0.9607656,0.02172684,0.03963332,0.12290679,-1.69048679,0.20302181,3.09440541,0.0324414,0.11825809,-0.99788117
0.00750948,0.05818385,-0.0314593,0.90521348,1.22451091,2.24078584,0.26910719,0.05593535,0.96057695,-0.03939017,-0.02127813,0.06192788,-1.69049764,0.20312233,3.09440255,0.0324414,0.11787646,-0.99768806
0.07696178,-0.01151168,-0.10111349,0.90519232,1.22452354,2.24074912,0.26968163,0.05612245,0.96019965,-0.03953023,-0.14279431,0.06207722,-1.69049966,0.20313607,3.09442639,0.03318743,0.11806727,-0.99768806
0.00738573,0.05807938,0.03776526,0.90526474,1.22450519,2.24082899,0.27063903,0.05612245,0.96001107,-0.16172633,-0.02059161,-0.05987861,-1.69052923,0.20314494,3.09442401,0.03411996,0.11806727,-0.99768806
-0.06229206,-0.0811817,-0.10129064,0.90519267,1.22451031,2.24076414,0.26968163,0.05668375,0.9603883,-0.10078567,-0.08150531,-0.05972918,-1.69054365,0.20313628,3.09443974,0.03467949,0.11883055,-0.997495
-0.1318679,0.05766125,0.10747952,0.90528083,1.22448051,2.24087977,0.26968163,0.05668375,0.96019965,-0.10071836,-0.14241919,0.06222079,-1.69056463,0.20317467,3.09446383,0.03430647,0.11959381,-0.99730188
-0.0623133,-0.08159946,0.03782509,0.90525019,1.22446656,2.24085879,0.26949015,0.05630955,0.96019965,0.02140484,-0.08156633,0.00139376,-1.69055808,0.2031766,3.09447813,0.03393346,0.11978463,-0.99730188
0.00703829,-0.0121645,0.03789992,0.90529782,1.22443974,2.24091554,0.27025607,0.05612245,0.96001107,0.02157448,-0.02052692,-0.05958628,-1.69055951,0.20320189,3.09447384,0.03411996,0.11978463,-0.99730188
-0.06263864,0.05727047,0.10737562,0.90534073,1.22443116,2.24097276,0.27006459,0.05612245,0.9603883,0.08261742,-0.02046422,-0.12056631,-1.69054389,0.20318142,3.09448004,0.03337394,0.11902136,-0.99768806
0.07638033,-0.01226679,-0.03167967,0.905388,1.22441423,2.24101233,0.26949015,0.05612245,0.96057695,0.0827863,-0.02021543,-0.1205698,-1.69053352,0.20321563,3.09447718,0.03318743,0.11921218,-0.9969157
0.00690648,0.05716787,0.03796064,0.90542227,1.22441518,2.24104762,0.26949015,0.05612245,0.9603883,-0.03920346,-0.02015366,0.00153332,-1.6905396,0.20321631,3.09448075,0.03337394,0.119403,-0.9969157
-0.13223401,-0.01221019,0.10760091,0.90549326,1.22437334,2.24115062,0.26949015,0.05593535,0.96057695,0.02204379,-0.08106861,-0.05944708,-1.69054008,0.20326304,3.09449196,0.03318743,0.11959381,-0.9969157
-0.06247654,0.126789,-0.03145451,0.90552115,1.22439134,2.24119186,0.26987311,0.05593535,0.96019965,0.08308566,-0.02003065,-0.05945095,-1.6905247,0.20325316,3.09449673,0.03281441,0.11921218,-0.99768806
-0.131951,-0.01231313,-0.03137954,0.90550476,1.22438133,2.24120426,0.26987311,0.05556115,0.96019965,0.0829464,0.0408207,0.00152174,-1.69051409,0.2032783,3.09448099,0.03337394,0.11844891,-0.99768806
-0.06249718,-0.01228484,-0.03147072,0.90547979,1.22438431,2.24118924,0.26949015,0.05518695,0.9603883,0.02172888,-0.01990774,0.00167228,-1.69050968,0.203279,3.09448433,0.03262791,0.11806727,-0.99788117
-0.06230563,0.0571485,-0.03139544,0.905514,1.22437882,2.24124002,0.27025607,0.05537405,0.96133149,0.14354363,0.04094319,-0.12043966,-1.69048631,0.20326117,3.09447575,0.03281441,0.11787646,-0.99807423
0.00745072,-0.01254856,0.0384117,0.90552199,1.22437227,2.24124694,0.26968163,0.05499985,0.96114284,-0.03942207,-0.02015861,-0.05931212,-1.69049215,0.20325132,3.09448051,0.03262791,0.11787646,-0.99826735
-0.06202398,0.05704566,-0.03107873,0.90551245,1.22437954,2.24125624,0.26968163,0.05556115,0.96152008,0.0215185,0.04087962,0.06279177,-1.69049394,0.20330314,3.09446406,0.03337394,0.11863972,-0.99788117
0.14686447,-0.01249055,-0.031004,0.90552408,1.22438252,2.24124146,0.26929867,0.05574825,0.96114284,-0.161447,-0.08119857,0.00181061,-1.69051921,0.20330516,3.09447837,0.03356044,0.11902136,-0.99768806
0.21652076,-0.01246157,-0.23979254,0.90548772,1.22440684,2.24117231,0.26910719,0.05518695,0.96114284,-0.16127968,0.04062976,0.06278253,-1.6905545,0.20336363,3.09446073,0.03393346,0.11902136,-0.99730188
0.14684094,-0.08215957,-0.10075493,0.90545201,1.22441185,2.24110699,0.2687242,0.05537405,0.96057695,-0.16121425,0.10166859,0.0016457,-1.69058633,0.20336179,3.09444284,0.03337394,0.11825809,-0.99710882
0.21639469,-0.08229231,0.03828274,0.90553457,1.22437131,2.24116111,0.26949015,0.05574825,0.9603883,0.02188196,0.04112761,0.00164149,-1.69059122,0.20347366,3.09443021,0.03318743,0.11825809,-0.9969157
0.21638316,-0.15182781,-0.03137517,0.90550524,1.22435927,2.24108982,0.26929867,0.05668375,0.96019965,-0.10000622,0.10216495,-0.05933926,-1.69061208,0.20346124,3.09441328,0.03356044,0.11921218,-0.99730188
0.14670175,-0.0822329,-0.03129907,0.90551615,1.22434151,2.24107838,0.26929867,0.05687085,0.9603883,-0.16081692,-0.01991431,-0.05934345,-1.69064844,0.20353636,3.09441376,0.03356044,0.11959381,-0.99730188
0.07701993,-0.08236624,0.03834219,0.90550971,1.22432733,2.24105716,0.26968163,0.05630955,0.95982242,-0.09997802,-0.01966646,-0.05934764,-1.69066501,0.2035265,3.09441853,0.03300092,0.11902136,-0.99730188
0.0769029,-0.08217285,0.10798339,0.90555364,1.22428775,2.24109507,0.26987311,0.05630955,0.95982242,-0.09991349,-0.08039586,-0.0591951,-1.69068313,0.20349945,3.09442806,0.03411996,0.11978463,-0.99788117
0.21602213,0.0571509,-0.03090155,0.90560383,1.22429824,2.24110842,0.26949015,0.05687085,0.95982242,-0.03907418,0.10240638,-0.05888584,-1.69069338,0.2034871,3.09441137,0.03356044,0.11921218,-0.99788117
0.00731524,0.12690933,-0.03099595,0.90571392,1.2242887,2.24122596,0.27006459,0.05668375,0.96019965,0.02186619,0.0416767,-0.05889123,-1.69069338,0.20351139,3.09439683,0.03318743,0.11844891,-0.99768806
0.07697647,0.05753723,0.03864507,0.90576077,1.22428954,2.24126148,0.27006459,0.05668375,0.96001107,0.08270607,-0.08003023,-0.05858194,-1.69067574,0.20350289,3.09441209,0.03300092,0.11806727,-0.997495
0.00739976,0.12713091,0.0385504,0.9058947,1.22426844,2.24140763,0.27006459,0.05649665,0.96019965,0.082468,-0.01880825,-0.05843059,-1.69066298,0.20354478,3.09441042,0.03318743,0.11787646,-0.997495
0.00738824,0.05759412,0.0386265,0.90592945,1.22426939,2.24144316,0.27044755,0.05612245,0.9603883,-0.03962232,-0.01875056,0.00301257,-1.6906693,0.20354569,3.09441352,0.03262791,0.11825809,-0.99730188
0.0072678,0.05778772,-0.03103364,0.90593815,1.22427106,2.24146366,0.27063903,0.05612245,0.96001107,-0.16181493,-0.0188801,0.00300477,-1.69070208,0.20363775,3.09441042,0.03318743,0.11806727,-0.99710882
-0.13198346,0.05781574,0.03843673,0.90594858,1.22427201,2.24149919,0.27025607,0.05593535,0.96019965,-0.10097618,0.04215437,0.06397352,-1.69072151,0.20364796,3.0944016,0.03318743,0.11863972,-0.99768806
0.00713568,-0.08112092,-0.03122324,0.90593457,1.22425199,2.24148893,0.27044755,0.05630955,0.96057695,-0.03993221,-0.01857726,0.06396574,-1.69073057,0.2036621,3.09439516,0.03356044,0.11921218,-0.99768806
-0.06244086,-0.01136204,-0.03148969,0.90590996,1.22425508,2.24147439,0.27006459,0.05630955,0.96019965,-0.10094437,0.04226913,0.00345701,-1.69074976,0.20366181,3.09438753,0.03337394,0.11997545,-0.99768806
0.00711299,-0.08073372,-0.03141182,0.90595049,1.22422028,2.24151754,0.27006459,0.05556115,0.96019965,-0.03989989,-0.07962652,0.06458328,-1.69075811,0.20371509,3.09439015,0.03356044,0.11902136,-0.99768806
-0.06257509,0.05842348,-0.10107154,0.90593165,1.22424042,2.2415092,0.26987311,0.05499985,0.96019965,0.02124885,0.04238383,0.0647328,-1.69075608,0.20372543,3.09438133,0.03393346,0.11902136,-0.99730188
0.00675489,-0.1504124,0.03796449,0.90596938,1.22418857,2.24154925,0.26968163,0.05556115,0.9607656,0.02142146,0.04281549,0.06472299,-1.69075823,0.20376256,3.09435916,0.03430647,0.11959381,-0.99807423
0.00663147,-0.01125483,-0.03169506,0.9059568,1.22419178,2.24153471,0.26929867,0.05574825,0.9603883,0.02148954,-0.01791796,0.00373666,-1.69075382,0.20376359,3.09436226,0.03411996,0.11863972,-0.99788117
-0.06283151,-0.08096049,0.03760282,0.90594208,1.22416615,2.24154019,0.26910719,0.05537405,0.9603883,0.14361623,-0.01786291,-0.05709016,-1.69073355,0.20379244,3.09436011,0.03411996,0.119403,-0.99730188
0.07628793,0.12776266,0.03768247,0.90601522,1.22417474,2.24160385,0.2687242,0.05574825,0.9603883,0.14368445,-0.13976111,0.00387621,-1.69070351,0.20379603,3.09438491,0.03356044,0.11921218,-0.99672264
0.07627691,0.05839303,0.03776205,0.90612626,1.2241497,2.241714,0.26949015,0.05612245,0.96057695,0.2045169,0.04303585,0.06500246,-1.6906755,0.20385392,3.09437394,0.03300092,0.11883055,-0.99672264
0.07626586,0.05842008,-0.03189756,0.90615231,1.22416043,2.24172759,0.26929867,0.05668375,0.96001107,0.14328931,0.043091,-0.11793773,-1.69065154,0.20383258,3.09436893,0.03300092,0.11863972,-0.99633646
0.14582001,-0.08051463,0.03774751,0.90615213,1.22414088,2.24171019,0.26949015,0.05630955,0.96019965,0.08195411,-0.0788071,-0.05665124,-1.69063592,0.20385504,3.09437537,0.03225489,0.11863972,-0.99710882
0.00667846,0.0586424,0.1073925,0.90620762,1.22413242,2.24176788,0.26968163,0.05630955,0.95982242,0.08170215,-0.07875227,-0.05650218,-1.69061863,0.2038469,3.09439039,0.03262791,0.11844891,-0.997495
-0.06301396,0.05849971,0.03790696,0.90628928,1.22410905,2.24186802,0.27006459,0.05630955,0.96001107,0.02058103,-0.07907266,0.0046232,-1.69061148,0.2038451,3.09440112,0.03262791,0.11749482,-0.99826735
-0.06290838,0.05869623,0.03798657,0.90631193,1.22411013,2.24190378,0.27006459,0.05743215,0.96019965,0.02032782,-0.01804046,0.00461101,-1.69060731,0.20384628,3.09440422,0.03300092,0.11825809,-0.99903965
-0.06291958,-0.01084246,-0.03149914,0.90632218,1.22409654,2.24192929,0.26987311,0.05668375,0.95982242,-0.04068498,0.04280399,-0.0565387,-1.69061923,0.20388658,3.09439445,0.03318743,0.11806727,-0.99903965
-0.13237849,-0.01081595,0.03814551,0.90630633,1.2240901,2.24193692,0.26987311,0.05630955,0.95982242,0.02003694,-0.01792901,0.00458729,-1.69061506,0.20388776,3.09439754,0.03356044,0.11844891,-0.99846041
-0.06282472,-0.01095984,-0.10072991,0.90626079,1.2240932,2.24191189,0.27025607,0.05668375,0.96019965,-0.10217128,-0.07903803,0.00441379,-1.69063425,0.20394436,3.09440279,0.03374695,0.11844891,-0.99788117
-0.06283621,-0.08032751,-0.0312618,0.90620995,1.22408891,2.24186945,0.27025607,0.05687085,0.9603883,-0.22416005,-0.01819358,0.00407902,-1.69067276,0.20394544,3.09440613,0.03393346,0.11863972,-0.99730188
-0.13241294,-0.080472,-0.03118263,0.90617329,1.22406876,2.2418623,0.26987311,0.05612245,0.96001107,-0.22408541,-0.01813757,0.00390649,-1.69071126,0.2039465,3.09440923,0.03337394,0.11921218,-0.99672264
-0.132544,-0.08044516,0.03863808,0.90613109,1.22405481,2.24184203,0.26968163,0.05518695,0.95982242,-0.16303408,-0.01770624,0.06471077,-1.69073939,0.20395808,3.0944109,0.03356044,0.11959381,-0.99652958
-0.06299014,-0.01102459,0.10810518,0.90618843,1.22402024,2.24191928,0.26968163,0.05537405,0.9607656,-0.04078368,-0.07862826,0.06486291,-1.69075322,0.20403722,3.09441924,0.03356044,0.11997545,-0.99672264
-0.06288104,-0.01082563,-0.03076945,0.90616417,1.22402334,2.24190521,0.26929867,0.05556115,0.96057695,-0.10157397,0.043567,0.06501482,-1.69077277,0.20404758,3.09440994,0.03337394,0.11997545,-0.9969157
-0.06265071,-0.01097088,0.10808504,0.90625817,1.22398031,2.24201894,0.2687242,0.05537405,0.96152008,-0.04041084,-0.01698025,-0.05711145,-1.69078302,0.20407164,3.09440374,0.03318743,0.11959381,-0.99788117
-0.13210654,-0.01077142,0.03842159,0.90624249,1.22397387,2.24202681,0.26949015,0.05574825,0.96114284,-0.1014253,-0.01674008,0.00385479,-1.69080019,0.20407265,3.09440684,0.03356044,0.119403,-0.99807423
0.00701158,-0.08030993,0.1078887,0.90629399,1.22393,2.24208593,0.26929867,0.05499985,0.96133149,-0.04048673,0.04428805,0.00400727,-1.69081438,0.20412056,3.09439397,0.03337394,0.11921218,-0.99807423
-0.06244356,-0.01089083,0.03804762,0.90629023,1.22392356,2.24209356,0.26929867,0.05462565,0.9603883,0.02033855,0.04433948,-0.17860717,-1.69081163,0.20408869,3.09438992,0.03300092,0.11863972,-0.99788117
-0.06257904,-0.08042895,0.10769354,0.9063161,1.22387981,2.24214411,0.27025607,0.05499985,0.9603883,0.08116359,0.1053673,-0.0563394,-1.69080424,0.20410548,3.09436035,0.03337394,0.119403,-0.99710882
0.14610423,-0.01101,0.03803056,0.90634876,1.22387338,2.24215174,0.26987311,0.05462565,0.9603883,0.02026331,-0.07751119,-0.05635182,-1.69079769,0.20409735,3.09437513,0.03337394,0.11921218,-0.99730188
0.14633951,0.05858269,0.03775435,0.90647048,1.22384942,2.24225736,0.26987311,0.05556115,0.9607656,0.08120184,0.04468087,0.06575233,-1.69079173,0.20418304,3.09435463,0.03337394,0.11959381,-0.99710882
0.07688572,-0.01130281,0.03783612,0.90649086,1.22384298,2.24226475,0.26968163,0.05630955,0.96133149,-0.04090412,-0.07722196,0.0049266,-1.69079614,0.2041855,3.09436822,0.03337394,0.11978463,-0.99652958
0.14668739,0.05829071,0.03791779,0.90657473,1.22382987,2.24233055,0.27006459,0.05649665,0.96001107,0.08089586,-0.13833646,0.00491337,-1.69078112,0.20421074,3.09438682,0.03356044,0.11883055,-0.99633646
0.00766861,0.05831897,-0.03156587,0.90658879,1.22384048,2.24234414,0.27006459,0.05687085,0.9603883,0.14183465,-0.13828592,-0.11705293,-1.69075096,0.20419335,3.09441376,0.03356044,0.119403,-0.99730188
0.21647614,0.05817256,-0.03148441,0.9067052,1.22382414,2.24243259,0.26968163,0.05687085,0.95963377,0.08058837,0.04450598,0.06619178,-1.69074345,0.20422943,3.09439826,0.03337394,0.119403,-0.99768806
0.00776637,-0.01136401,0.03798241,0.90671349,1.22381771,2.24244022,0.26987311,0.05687085,0.95963377,0.01969076,-0.01641975,-0.05561106,-1.69073915,0.20422013,3.09440231,0.03337394,0.11902136,-0.99768806
-0.06168633,-0.01151055,-0.10106631,0.90675914,1.22379696,2.24249887,0.27025607,0.05705795,0.95982242,0.0806296,-0.01655725,0.00518655,-1.69072807,0.20428774,3.09439635,0.03337394,0.11825809,-0.99788117
-0.1315202,0.05808369,-0.03141949,0.90674895,1.22380757,2.24251223,0.26987311,0.05649665,0.96001107,0.08094322,0.04465859,0.06614909,-1.69071591,0.20429827,3.09438705,0.03337394,0.11863972,-0.99807423
-0.06235169,-0.01145253,0.0387685,0.9068175,1.22377276,2.24259877,0.26987311,0.05537405,0.9603883,0.1422338,-0.0164558,-0.05598277,-1.69069421,0.20437326,3.09437871,0.03337394,0.11844891,-0.99768806
-0.13218626,-0.01124768,0.03902913,0.90680176,1.22376621,2.24260664,0.26949015,0.05574825,0.96095419,0.02059517,-0.0167815,-0.11697282,-1.69068956,0.20435335,3.09438419,0.03356044,0.11806727,-0.99788117
-0.06301939,-0.08060827,-0.16976801,0.90675211,1.22376168,2.24256802,0.26987311,0.05518695,0.96019965,-0.04042132,0.04405858,-0.05600977,-1.69070148,0.20440599,3.09436655,0.03300092,0.11863972,-0.997495
-0.0634184,-0.01066227,-0.03055781,0.90672791,1.22376478,2.24255395,0.26968163,0.05593535,0.96057695,0.02075252,0.04373422,-0.05585795,-1.69069922,0.2043954,3.09436011,0.03356044,0.11883055,-0.997495
-0.06368866,-0.01045856,0.03908706,0.90675777,1.2237426,2.24259949,0.26987311,0.05556115,0.9607656,-0.22283709,-0.01718907,-0.0557064,-1.69074142,0.20441069,3.09435701,0.03356044,0.11921218,-0.99788117
0.00573572,-0.01025508,0.03898506,0.90676647,1.22373605,2.24260759,0.26949015,0.05518695,0.9603883,-0.10068647,-0.01713598,0.1273745,-1.69075894,0.20443311,3.09435725,0.03337394,0.11902136,-0.99807423
-0.06397056,-0.01005184,0.03870143,0.9068287,1.22370386,2.24268532,0.27025607,0.05518695,0.96057695,-0.03951216,-0.13884774,-0.0554041,-1.690768,0.20448866,3.09437919,0.03374695,0.11921218,-0.99788117
0.07475706,0.12892686,0.03878217,0.90690225,1.22371244,2.24274969,0.26987311,0.05593535,0.9607656,-0.0394343,-0.01721927,0.00572319,-1.69077432,0.20449002,3.09438205,0.03374695,0.11978463,-0.99768806
0.07474727,0.12859768,0.03886279,0.90704662,1.22369349,2.24289274,0.26968163,0.05612245,0.96095419,-0.03947688,-0.07833103,-0.05510287,-1.69078529,0.20453939,3.09439254,0.03337394,0.119403,-0.9969157
-0.06452463,0.12844676,-0.03080433,0.90707499,1.22371161,2.24293494,0.26949015,0.05556115,0.9603883,0.02133615,0.04386415,-0.05495266,-1.6907829,0.20452894,3.0943861,0.03356044,0.11997545,-0.99730188
-0.13409942,0.05855272,0.03865913,0.907085,1.22370195,2.2429862,0.27006459,0.05499985,0.96057695,0.08214901,-0.0170595,-0.05480272,-1.69077373,0.20460539,3.09437251,0.03374695,0.11978463,-0.99672264
0.00502143,-0.01116259,0.03855752,0.90709311,1.22369552,2.24299383,0.26949015,0.05593535,0.96057695,-0.03972468,-0.01700676,-0.05481958,-1.69077981,0.20459625,3.09437656,0.03337394,0.11959381,-0.9969157
-0.1341186,-0.0113125,-0.0309261,0.90703684,1.22369576,2.2429719,0.26968163,0.05574825,0.9607656,0.0215753,0.04402237,-0.11581296,-1.69078481,0.204652,3.0943644,0.03318743,0.11959381,-0.99672264
