time,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz
0,0.943886,-0.099732,0.182281,42.024605,-6.379522,16.085634,0.419395,-0.099066,0.191305,0.938308,-0.139536,0.146152,45.232239,1.511369,-2.218128,0.024368,-0.127574,0.050741
0.01,0.943695,-0.099545,0.18096,42.024605,-6.379522,16.085634,0.420553,-0.099013,0.052345,0.938867,-0.138773,0.144801,45.232239,1.511369,-2.218128,-0.096496,-0.067008,0.11145
0.02,0.94312,-0.098609,0.180017,41.730873,-6.463882,15.934338,0.282244,0.040417,-0.017187,0.937935,-0.138582,0.144994,45.157589,1.760137,-2.37422,0.026684,-0.189266,-0.010916
0.03,0.942929,-0.098235,0.179451,41.730873,-6.463882,15.934338,0.07387,-0.028723,-0.364979,0.935883,-0.137628,0.14538,45.157589,1.760137,-2.37422,0.515433,-0.128698,-0.132988
0.04,0.942354,-0.098235,0.179829,41.584011,-6.379522,15.934338,0.004129,-0.028297,-0.295516,0.934018,-0.137819,0.145959,44.784344,1.84306,-2.452266,0.759701,-0.190082,-0.193648
0.05,0.941971,-0.098048,0.180583,41.584011,-6.379522,15.934338,0.142921,0.041695,-0.156759,0.933085,-0.137246,0.144994,44.784344,1.84306,-2.452266,1.186472,-0.190488,-0.132356
0.06,0.94178,-0.097861,0.181149,41.804306,-6.632604,16.161282,0.281714,-0.097134,-0.018136,0.932526,-0.13801,0.144221,44.933643,1.677214,-2.842496,1.186265,-0.130021,0.051032
0.07,0.941971,-0.097674,0.181904,41.804306,-6.632604,16.161282,0.21214,0.042173,0.120353,0.933458,-0.138582,0.142483,44.933643,1.677214,-2.842496,0.820342,-0.130425,-0.009632
0.08,0.943886,-0.097674,0.181338,41.730873,-6.379522,16.085634,0.211969,-0.096781,0.258709,0.934764,-0.138391,0.140553,45.306889,1.511369,-2.296174,0.515395,-0.00877,0.112632
0.09,0.943695,-0.096551,0.180583,41.730873,-6.379522,16.085634,0.211472,-0.235734,0.118942,0.935696,-0.137437,0.139201,45.306889,1.511369,-2.296174,-0.033176,-0.070253,0.173774
0.1,0.943312,-0.095428,0.180206,41.951172,-6.295161,16.009985,0.211628,-0.235557,-0.020553,0.937748,-0.138582,0.138815,45.157589,1.594291,-2.37422,-0.33728,-0.009676,0.173939
0.11,0.943503,-0.095428,0.180772,41.951172,-6.295161,16.009985,0.072978,-0.235508,0.049186,0.93924,-0.140872,0.13978,45.157589,1.594291,-2.37422,-0.518875,-0.009868,0.23508
0.12,0.944461,-0.096551,0.181149,41.730873,-6.295161,16.009985,0.143507,-0.026506,-0.089099,0.939986,-0.142589,0.14229,44.933643,1.760137,-2.218128,-0.639639,0.17256,0.113005
0.13,0.944461,-0.097486,0.181338,41.730873,-6.295161,16.009985,0.144628,-0.095635,-0.227789,0.937935,-0.142589,0.144801,44.933643,1.760137,-2.218128,-0.516641,0.172266,-0.070189
0.14,0.943695,-0.098048,0.181904,41.877739,-6.463882,16.53952,-0.063436,-0.095457,-0.158321,0.936256,-0.140109,0.14538,44.933643,1.84306,-2.218128,-0.088348,0.171663,0.051785
0.15,0.943695,-0.098048,0.182281,41.877739,-6.463882,16.53952,0.006276,-0.025714,-0.019421,0.934204,-0.137628,0.144801,44.933643,1.84306,-2.218128,0.340077,-0.011455,0.112925
0.16,0.943312,-0.098422,0.181715,41.804306,-6.295161,16.161282,-0.062661,0.04403,0.118945,0.933085,-0.136865,0.14287,45.157589,1.594291,-2.452266,0.523896,-0.133492,0.052254
0.17,0.942737,-0.098422,0.181904,41.804306,-6.295161,16.161282,-0.131602,-0.025356,0.11845,0.933645,-0.137819,0.140939,45.157589,1.594291,-2.452266,0.585482,-0.133679,0.052557
0.18,0.942354,-0.098796,0.183035,42.024605,-6.379522,16.085634,-0.200546,-0.025308,-0.02104,0.935137,-0.139536,0.139394,45.082939,1.511369,-2.608358,0.403297,-0.194738,0.052577
0.19,0.942163,-0.098422,0.183035,42.024605,-6.379522,16.085634,-0.199927,-0.164259,-0.160264,0.936816,-0.139918,0.139201,45.082939,1.511369,-2.608358,0.160407,-0.195027,0.235385
0.2,0.942354,-0.098422,0.183979,41.730873,-6.463882,16.009985,-0.338918,-0.094646,-0.16009,0.938494,-0.141063,0.140166,45.008293,1.925982,-2.296174,0.100442,-0.195419,0.174287
0.21,0.942546,-0.096364,0.18379,41.730873,-6.463882,16.009985,-0.268738,0.044797,-0.090485,0.938121,-0.139918,0.142097,45.008293,1.925982,-2.296174,0.162152,-0.073856,0.174166
0.22,0.941588,-0.095615,0.183035,41.804306,-6.463882,16.009985,-0.128996,0.184108,-0.020748,0.935883,-0.139536,0.144221,45.157589,1.925982,-2.76445,-0.081434,-0.013371,0.112929
