,title,abstract
0,Do Adults with Stroke have Altered Interhemispheric Inhibition? A Systematic Review with Meta-Analysis.,"Objective:Interhemispheric inhibition is an important cortical mechanism to support motor control. Altered interhemispheric inhibition has been the target of neuromodulation interventions. This systematic review investigated the evidence for altered interhemispheric inhibition in adults with unilateral neurological conditions: stroke, amyotrophic lateral sclerosis, cerebral palsy, complex regional pain syndrome, traumatic brain injury, and cerebral palsy METHODS: We pre-registered the protocol and followed PRISMA guidelines. Five databases were systematically searched to identify studies reporting interhemispheric inhibition measures in unilateral neurological conditions and healthy controls. Data were grouped according to the measure (ipsilateral silent period and dual-coil), stimulated hemisphere, and stage of the condition (subacute and chronic).Results:1372 studies were identified, of which 14 were included (n = 226 adults with stroke and 161 age-matched controls). Ipsilateral silent period-duration was longer in people with stroke than in controls (stimulation of dominant hemisphere) regardless of stroke stage. Motor evoked potential was less suppressed in people with sub-acute stroke (stimulation of the unaffected hemisphere) than controls (stimulation of dominant hemisphere) and this reversed in chronic stroke.Conclusion:Detection of altered interhemispheric inhibition appears to be dependent on the measure of interhemispheric inhibition and the stage of recovery.Significance:Rebalancing interhemispheric inhibition using neuromodulation is considered a promising line of treatment for stroke rehabilitation. Our results did not find compelling evidence to support consistent alterations in interhemispheric inhibition in adults with stroke.Keywords:Interhemispheric inhibition; Ipsilateral silent period; Neurological conditions; Primary motor cortex; Transcallosal inhibition.
"
1,Non-invasive Brain Stimulation for Chronic Pain: State of the Art and Future Directions.,"As a technique that can guide brain plasticity, non-invasive brain stimulation (NIBS) has the potential to improve the treatment of chronic pain (CP) because it can interfere with ongoing brain neural activity to regulate specific neural networks related to pain management. Treatments of CP with various forms of NIBS, such as repetitive transcranial magnetic stimulation (rTMS) and transcranial direct current stimulation (tDCS), using new parameters of stimulation have achieved encouraging results. Evidence of moderate quality indicates that high-frequency rTMS of the primary motor cortex has a clear effect on neuropathic pain (NP) and fibromyalgia. However, evidence on its effectiveness regarding pain relief in other CP conditions is conflicting. Concerning tDCS, evidence of low quality supports its benefit for CP treatment. However, evidence suggesting that it exerts a small treatment effect on NP and headaches is also conflicting. In this paper, we describe the underlying principles behind these commonly used stimulation techniques; and summarize the results of randomized controlled trials, systematic reviews, and meta-analyses. Future research should focus on a better evaluation of the short-term and long-term effectiveness of all NIBS techniques and whether they decrease healthcare use, as well as on the refinement of selection criteria.Keywords:chronic pain; neuromodulation; non-invasive brain stimulation; rTMS; tDCS.
"
2,Physical therapy in children with cerebral palsy in Brazil: a scoping review.,"Aim:To identify and assess published studies concerning physical therapy in Brazilian children and adolescents with cerebral palsy (CP) using the International Classification of Functioning, Disability and Health (ICF) framework.Method:Articles in English and Portuguese published until October 2020, with no date restrictions, were searched in several different databases. Study characteristics, journal metrics, sample characteristics, and ICF domains explored intervention components and outcomes were extracted. Studies were classified according to the Oxford Centre for Evidence-Based Medicine hierarchy levels to characterize the evidence.Results:Ninety-four studies were included. Spastic CP with fewer limitations in gross motor abilities was the most reported; 67% of the studies had low levels of evidence and were published in journals without an impact factor. The three most frequent interventions were neurodevelopmental treatment, suit therapy, and transcranial direct current stimulation. Intervention components explored body functions and structures (73.4%), activity (59.6%), environment (2.1%). They did not explore participation (0%). The outcomes investigated addressed activity (79.8%), body functions and structures (67.0%), and participation (1.1%), but not environment (0%).Interpretation:Studies of physical therapy for Brazilian children and adolescents with CP focused on reducing impairments and activity limitations. Studies with higher levels of evidence and an expanded focus on participation and environmental factors are necessary."
3,Exploring Clinical and Neurophysiological Factors Associated with Response to Constraint Therapy and Brain Stimulation in Children with Hemiparetic Cerebral Palsy.,"Background:Perinatal stroke causes hemiparetic cerebral palsy (HCP) and lifelong disability. Constraint-induced movement therapy (CIMT) and neurostimulation may enhance motor function, but the individual factors associated with responsiveness are undetermined.Objective:We explored the clinical and neurophysiological factors associated with responsiveness to CIMT and/or brain stimulation within a clinical trial.Methods:PLASTIC CHAMPS was a randomized, blinded, sham-controlled trial (n = 45) of CIMT and neurostimulation paired with intensive, goal-directed therapy. Primary outcome was the Assisting Hand Assessment (AHA). Classification trees created through recursive partitioning suggested clinical and neurophysiological profiles associated with improvement at 6-months.Results:Both clinical (stroke side (left) and age >14 years) and neurophysiological (intracortical inhibition/facilitation and motor threshold) were associated with responsiveness across treatment groups with positive predictive values (PPV) approaching 80%.Conclusion:This preliminary analysis suggested sets of variables that may be associated with response to intensive therapies in HCP. Further modeling in larger trials is required.Keywords:Perinatal stroke; constraint-induced movement therapy; hemiparetic cerebral palsy; personalized rehabilitation; transcranial magnetic stimulation.
"
4,Robotic mapping of motor cortex in children with perinatal stroke and hemiparesis.,"Brain stimulation combined with intensive therapy may improve hand function in children with perinatal stroke-induced unilateral cerebral palsy (UCP). However, response to therapy varies and underlying neuroplasticity mechanisms remain unclear. Here, we aimed to characterize robotic motor mapping outcomes in children with UCP. Twenty-nine children with perinatal stroke and UCP (median age 11 ± 2 years) were compared to 24 typically developing controls (TDC). Robotic, neuronavigated transcranial magnetic stimulation was employed to define bilateral motor maps including area, volume, and peak motor evoked potential (MEP). Map outcomes were compared to the primary clinical outcome of the Jebsen-Taylor Test of Hand Function (JTT). Maps were reliably obtained in the contralesional motor cortex (24/29) but challenging in the lesioned hemisphere (5/29). Within the contralesional M1 of participants with UCP, area and peak MEP amplitude of the unaffected map were larger than the affected map. When comparing bilateral maps within the contralesional M1 in children with UCP to that of TDC, only peak MEP amplitudes were different, being smaller for the affected hand as compared to TDC. We observed correlations between the unaffected map when stimulating the contralesional M1 and function of the unaffected hand. Robotic motor mapping can characterize motor cortex neurophysiology in children with perinatal stroke. Map area and peak MEP amplitude may represent discrete biomarkers of developmental plasticity in the contralesional M1. Correlations between map metrics and hand function suggest clinical relevance and utility in studies of interventional plasticity.Keywords:cerebral palsy; motor mapping; perinatal stroke; plasticity; robotic TMS; transcranial magnetic stimulation.
"
5,The Effect of Constraint-Induced Movement Therapy Combined With Repetitive Transcranial Magnetic Stimulation on Hand Function in Preschool Children With Unilateral Cerebral Palsy: A Randomized Controlled Preliminary Study.,"Constraint-induced movement therapy (CIMT) combined with repetitive transcranial magnetic stimulation (rTMS) have shown great potential in improving function in schoolchildren with unilateral cerebral palsy attributed to perinatal stroke. However, the prospect of application in preschool children with unilateral cerebral palsy (UCP) attributed to various brain disorders remains unclear. In this prospective, assessor-blinded, randomized controlled study, 40 preschool children with UCP (aged 2.5-6 years) were randomized to receive 10 days of CIMT combined with active or sham rTMS. Assessments were performed at baseline, 2 weeks, and 6 months post-intervention to investigate upper limb extremity, social life ability, and perceived changes by parents and motor-evoked potentials. Overall, 35 participants completed the trial. The CIMT plus active stimulation group had greater gains in the affected hand function (range of motion, accuracy, and fluency) than the CIMT plus sham stimulation group (P < 0.05), but there was no significant difference in muscular tone, social life ability, and perceived changes by parents between the two groups (P > 0.05). In addition, there was no significant difference in hand function between children with and without motor-evoked potential (P > 0.05). No participants reported severe adverse events during the study session. In short, the treatment of CIMT combined with rTMS is safe and feasible for preschool children with UCP attributed to various brain disorders. Randomized controlled studies with large samples and long-term effects are warranted.Keywords:constraint-induced movement therapy; hand function; preschool children; repetitive transcranial magnetic stimulation; unilateral cerebral palsy.
"
6,Study Protocol: Multimodal Longitudinal Assessment of Infant Brain Organization and Recovery in Perinatal Brain Injury.,"Purpose:Perinatal brain injury is a primary cause of cerebral palsy, a condition resulting in lifelong motor impairment. Infancy is an important period of motor system development, including development of the corticospinal tract (CST), the primary pathway for cortical movement control. The interaction between perinatal stroke recovery, CST organization, and resultant motor outcome in infants is not well understood.Methods:Here, we present a protocol for multimodal longitudinal assessment of brain development and motor function following perinatal brain injury using transcranial magnetic stimulation and magnetic resonance imaging to noninvasively measure CST functional and structural integrity across multiple time points in infants 3 to 24 months of age. We will further assess the association between cortical excitability, integrity, and motor function.Discussion:This protocol will identify bioindicators of motor outcome and neuroplasticity and subsequently inform early detection, diagnosis, and intervention strategies for infants with perinatal stroke, brain bleeds, and related diagnoses."
7,Discernible effects of tDCS over the primary motor and posterior parietal cortex on different stages of motor learning.,"Implicit motor learning and memory involve complex cortical and subcortical networks. The induction of plasticity in these network components via non-invasive brain stimulation, including transcranial direct current stimulation (tDCS), has shown to improve motor learning. However, studies showing these effects are mostly restricted to stimulation of the primary motor cortex (M1) during the early stage of learning. Because of this, we aimed to explore the efficacy of anodal tDCS applied over the posterior parietal cortex (PPC), which is involved in memory processes, on serial reaction time task (SRTT) performance. Specifically, to evaluate the involvement of both motor learning network components, we compared the effects of tDCS applied over regions corresponding to M1 and PPC during the early and late stages of learning. The results revealed a selective improvement of reaction time (RT) during anodal stimulation over the PPC in the late stage of learning. These findings support the assumption that the PPC is relevant during specific phases of learning, at least for SRTT performance. The results also indicate that not only the target area (i.e., PPC), but also timing is crucial for achieving the effects of stimulation on motor learning.Keywords:Motor learning; Posterior parietal cortex; Primary motor cortex; Serial reaction time task; Transcranial direct current stimulation.
"
8,HABIT+tDCS: a study protocol of a randomised controlled trial (RCT) investigating the synergistic efficacy of hand-arm bimanual intensive therapy (HABIT) plus targeted non-invasive brain stimulation to improve upper extremity function in school-age children with unilateral cerebral palsy.,"Introduction:Unilateral spastic cerebral palsy (USCP) is characterised by movement deficits primarily on one body side. The best available upper extremity (UE) therapies are costly and intensive. Thus, there is an urgent need for better, more efficient and thus more accessible therapies. Transcranial direct current stimulation (tDCS) is non-invasive and may enhance physical rehabilitation approaches. The aim of this study is to determine whether tDCS targeted to the hemisphere with corticospinal tract (CST) connectivity enhances the efficacy of UE training in children with USCP. Our central hypothesis is that hand-arm bimanual intensive therapy (HABIT) combined with a tDCS montage targeting the hemisphere with CST connectivity to the impaired UE muscles will improve UE function more than HABIT plus sham stimulation. We will test this by conducting a randomised clinical trial with clinical and motor cortex physiology outcomes.Methods and analyses:81 children, aged 6-17 years, will be randomised to receive 2 mA anodal tDCS targeted to the affected UE motor map, 2 mA cathodal tDCS to the contralesional motor cortex or sham tDCS during the first 20 min of each HABIT session (10 hours: 2 hours/day for 5 days). Primary outcomes will be Box and Blocks Test, Assisting Hand Assessment and motor cortex excitability, determined with single-pulse transcranial magnetic stimulation. Secondary outcomes include ABILHAND-Kids, Canadian Occupational Performance Measure, Cooper Stereognosis, Dimension of Mastery Questionnaire and Participation and Environment Measure-Children and Youth. All measures will be collected before, immediately and 6 months after treatment. A group × test session Analysis of Variance will test differences among groups on all measures.Ethics and dissemination:The study has been approved by the BRANY Institutional Review Board (#18-10-285-512). We will leverage our subject and family relationships to maximise dissemination and share results with the academic and patient/family advocacy groups.Trial registration number:
NCT03402854.Keywords:neurology; neurophysiology; paediatric neurology.
"
9,A transcranial magnetic stimulation study for the characterization of corticospinal pathway plasticity in children with neurological disorders.,"We aimed to investigate cortical and radicular TMS-evoked motor evoked potentials (MEPs) in children with neurological disorders (n = 57, mean age: 5.45 years) and agematched healthy controls (n = 46). Four TMS parameters were analyzed: MEP amplitudes, the latencies of MEP, the latency jump (cortical MEP latency at rest - cortical active-MEP latency at with slightly contracted targeted muscle), and central motor conduction time. Children with neurological disorders were categorized according to the two major types of neuronal plasticity; excessive plasticity: 29 children with cerebral palsy and impaired plasticity: 28 children with neurodegenerative diseases, stroke, and central nervous system infections. The active-MEP abnormalities (absent and prolonged latencies) were correlated with the location of cortical involvement on MRI patterns. We obtained a significantly increased rate of abnormal cortical active-MEPs in children with impaired plasticity (21/28, 75%) compared with excessive plasticity (18/29, 62%). The rate of absent MEP response is three times more in children with impaired plasticity (43%) than in children with excessive plasticity (14%). A more reduced latency jump was measured in children with impaired plasticity compared to children with excessive plasticity. TMS-evoked active-MEPs and latency jumping are valuable parameters for characterizing neuronal plasticity in children with neurological disorders.Keywords:Cerebral palsy; Magnetic resonance imaging; Neurodegenerative disorders; Neurological syndrome; Plasticity; Transcranial magnetic stimulation.
"
10,Spinal and corticospinal excitability in response to reductions in skin and core temperatures via whole-body cooling.,"Cold stress impairs fine and gross motor movements. Although peripheral effects of muscle cooling on performance are well understood, less is known about central mechanisms. This study characterized corticospinal and spinal excitability during surface cooling, reducing skin (Tsk) and esophageal (Tes) temperatures. Ten subjects (3 females) wore a liquid-perfused suit and were cooled (9 °C perfusate, 90 min) and rewarmed (41 °C perfusate, 30 min). Transcranial magnetic stimulation (eliciting motor evoked potentials [MEPs]), as well as transmastoid (eliciting cervicomedullary evoked potentials [CMEPs]) and brachial plexus (eliciting maximal compound motor action potentials [Mmax]) electrical stimulation, were applied at baseline, every 20 min during cooling, and following rewarming. Sixty minutes of cooling reduced Tsk by 9.6 °C (P < 0.001), but Tes remained unchanged (P = 0.92). Tes then decreased by ∼0.6 °C in the next 30 min of cooling (P < 0.001). Eight subjects shivered. During rewarming, shivering was abolished, and Tsk returned to baseline, while Tes did not increase. During cooling and rewarming, Mmax, MEP, and MEP/Mmax remained unchanged from baseline. However, CMEP and CMEP/Mmax increased during cooling by ∼85% and 79% (P < 0.001), respectively, and remained elevated post-rewarming. The results suggest that spinal excitability is facilitated by reduced Tsk during cooling and reduced Tes during warming, while corticospinal excitability remains unchanged. ClinicalTrials.gov ID: NCT04253730. Novelty: This is the first study to characterize corticospinal and spinal excitability during whole-body cooling and rewarming in humans. Whole body cooling did not affect corticospinal excitability. Spinal excitability was facilitated during reductions in both skin and core temperatures.Keywords:cold performance; performance au froid; stimulation magnétique transcrânienne; thermoregulation; thermorégulation; transcranial magnetic stimulation.
"
