s,ADC 0,ADC 1
-0.1,0.004368,0.004234
-0.0998,0.004514,0.004183
-0.0996,0.004438,0.004056
-0.0994,0.004514,0.004139
-0.0992,0.00452,0.004107
-0.099,0.004482,0.004025
-0.0988,0.004349,0.004133
-0.0986,0.00452,0.004164
-0.0984,0.00447,0.004094
-0.0982,0.00447,0.004094
-0.098,0.004355,0.004272
-0.0978,0.004412,0.004215
-0.0976,0.004508,0.004094
-0.0974,0.004457,0.004253
-0.0972,0.004559,0.004133
-0.097,0.00459,0.004063
-0.0968,0.004654,0.004063
-0.0966,0.004419,0.004094
-0.0964,0.004444,0.004139
-0.0962,0.004431,0.004114
-0.096,0.004317,0.00419
-0.0958,0.00445,0.004393
-0.0956,0.004336,0.004012
-0.0954,0.004667,0.004094
-0.0952,0.00426,0.004203
-0.095,0.004603,0.004183
-0.0948,0.004311,0.004107
-0.0946,0.00466,0.004304
-0.0944,0.004381,0.004311
-0.0942,0.004438,0.004241
-0.094,0.004431,0.004069
-0.0938,0.004527,0.003821
-0.0936,0.004266,0.004368
-0.0934,0.004482,0.004183
-0.0932,0.004311,0.004158
-0.093,0.004508,0.004094
-0.0928,0.004438,0.00426
-0.0926,0.004311,0.004215
-0.0924,0.004317,0.003986
-0.0922,0.004285,0.004158
-0.092,0.004393,0.004164
-0.0918,0.004336,0.004304
-0.0916,0.0044,0.004152
-0.0914,0.004705,0.004272
-0.0912,0.004501,0.004082
-0.091,0.004482,0.00419
-0.0908,0.004457,0.004088
-0.0906,0.004578,0.00426
-0.0904,0.004482,0.00405
-0.0902,0.0044,0.004133
-0.09,0.004667,0.004107
-0.0898,0.004361,0.004292
-0.0896,0.004527,0.00398
-0.0894,0.004578,0.004133
-0.0892,0.004463,0.004094
-0.089,0.004253,0.00405
-0.0888,0.004527,0.004215
-0.0886,0.004292,0.004285
-0.0884,0.004272,0.004152
-0.0882,0.004527,0.004196
-0.088,0.004412,0.00405
-0.0878,0.004679,0.004094
-0.0876,0.004336,0.004094
-0.0874,0.004412,0.004247
-0.0872,0.004482,0.004069
-0.087,0.004622,0.004228
-0.0868,0.004552,0.00412
-0.0866,0.004431,0.004088
-0.0864,0.004349,0.004075
-0.0862,0.004546,0.004101
-0.086,0.00433,0.004145
-0.0858,0.004686,0.004139
-0.0856,0.004298,0.004025
-0.0854,0.004578,0.004044
-0.0852,0.004571,0.004164
-0.085,0.00447,0.004139
-0.0848,0.004457,0.004209
-0.0846,0.004368,0.00419
-0.0844,0.004533,0.004171
-0.0842,0.004457,0.00412
-0.084,0.004705,0.003967
-0.0838,0.004495,0.004196
-0.0836,0.00426,0.004311
-0.0834,0.00426,0.004323
-0.0832,0.004336,0.004171
-0.083,0.004279,0.004215
-0.0828,0.004368,0.004152
-0.0826,0.004495,0.003974
-0.0824,0.00433,0.004279
-0.0822,0.004501,0.004381
-0.082,0.004355,0.004056
-0.0818,0.004565,0.004101
-0.0816,0.004361,0.004107
-0.0814,0.004266,0.004133
-0.0812,0.004311,0.004247
-0.081,0.004342,0.003967
-0.0808,0.004571,0.004342
-0.0806,0.004508,0.003974
-0.0804,0.004622,0.004241
-0.0802,0.004342,0.004234
-0.08,0.004495,0.004044
-0.0798,0.004559,0.004355
-0.0796,0.004412,0.004056
-0.0794,0.004412,0.004196
-0.0792,0.00445,0.004088
-0.079,0.004495,0.004075
-0.0788,0.00447,0.004139
-0.0786,0.004559,0.004152
-0.0784,0.004667,0.004266
-0.0782,0.004419,0.004266
-0.078,0.00433,0.004234
-0.0778,0.004667,0.004025
-0.0776,0.004508,0.004266
-0.0774,0.004501,0.004075
-0.0772,0.004444,0.004082
-0.077,0.004355,0.004069
