"s"	"ADC 0"	"ADC 1"
-0.10000000	0.004368	0.004234
-0.09980000	0.004514	0.004183
-0.09960000	0.004438	0.004056
-0.09940000	0.004514	0.004139
-0.09920000	0.004520	0.004107
-0.09900000	0.004482	0.004025
-0.09880000	0.004349	0.004133
-0.09860000	0.004520	0.004164
-0.09840000	0.004470	0.004094
-0.09820000	0.004470	0.004094
-0.09800000	0.004355	0.004272
-0.09780000	0.004412	0.004215
-0.09760000	0.004508	0.004094
-0.09740000	0.004457	0.004253
-0.09720000	0.004559	0.004133
-0.09700000	0.004590	0.004063
-0.09680000	0.004654	0.004063
-0.09660000	0.004419	0.004094
-0.09640000	0.004444	0.004139
-0.09620000	0.004431	0.004114
-0.09600000	0.004317	0.004190
-0.09580000	0.004450	0.004393
-0.09560000	0.004336	0.004012
-0.09540000	0.004667	0.004094
-0.09520000	0.004260	0.004203
-0.09500000	0.004603	0.004183
-0.09480000	0.004311	0.004107
-0.09460000	0.004660	0.004304
-0.09440000	0.004381	0.004311
-0.09420000	0.004438	0.004241
-0.09400000	0.004431	0.004069
-0.09380000	0.004527	0.003821
-0.09360000	0.004266	0.004368
-0.09340000	0.004482	0.004183
-0.09320000	0.004311	0.004158
-0.09300000	0.004508	0.004094
-0.09280000	0.004438	0.004260
-0.09260000	0.004311	0.004215
-0.09240000	0.004317	0.003986
-0.09220000	0.004285	0.004158
-0.09200000	0.004393	0.004164
-0.09180000	0.004336	0.004304
-0.09160000	0.004400	0.004152
-0.09140000	0.004705	0.004272
-0.09120000	0.004501	0.004082
-0.09100000	0.004482	0.004190
-0.09080000	0.004457	0.004088
-0.09060000	0.004578	0.004260
-0.09040000	0.004482	0.004050
-0.09020000	0.004400	0.004133
-0.09000000	0.004667	0.004107
-0.08980000	0.004361	0.004292
-0.08960000	0.004527	0.003980
-0.08940000	0.004578	0.004133
-0.08920000	0.004463	0.004094
-0.08900000	0.004253	0.004050
-0.08880000	0.004527	0.004215
-0.08860000	0.004292	0.004285
-0.08840000	0.004272	0.004152
-0.08820000	0.004527	0.004196
-0.08800000	0.004412	0.004050
-0.08780000	0.004679	0.004094
-0.08760000	0.004336	0.004094
-0.08740000	0.004412	0.004247
-0.08720000	0.004482	0.004069
-0.08700000	0.004622	0.004228
-0.08680000	0.004552	0.004120
-0.08660000	0.004431	0.004088
-0.08640000	0.004349	0.004075
-0.08620000	0.004546	0.004101
-0.08600000	0.004330	0.004145
-0.08580000	0.004686	0.004139
-0.08560000	0.004298	0.004025
-0.08540000	0.004578	0.004044
-0.08520000	0.004571	0.004164
-0.08500000	0.004470	0.004139
-0.08480000	0.004457	0.004209
-0.08460000	0.004368	0.004190
-0.08440000	0.004533	0.004171
-0.08420000	0.004457	0.004120
-0.08400000	0.004705	0.003967
-0.08380000	0.004495	0.004196
-0.08360000	0.004260	0.004311
-0.08340000	0.004260	0.004323
-0.08320000	0.004336	0.004171
-0.08300000	0.004279	0.004215
-0.08280000	0.004368	0.004152
-0.08260000	0.004495	0.003974
-0.08240000	0.004330	0.004279
-0.08220000	0.004501	0.004381
-0.08200000	0.004355	0.004056
-0.08180000	0.004565	0.004101
-0.08160000	0.004361	0.004107
-0.08140000	0.004266	0.004133
-0.08120000	0.004311	0.004247
-0.08100000	0.004342	0.003967
-0.08080000	0.004571	0.004342
-0.08060000	0.004508	0.003974
-0.08040000	0.004622	0.004241
-0.08020000	0.004342	0.004234
-0.08000000	0.004495	0.004044
-0.07980000	0.004559	0.004355
-0.07960000	0.004412	0.004056
-0.07940000	0.004412	0.004196
-0.07920000	0.004450	0.004088
-0.07900000	0.004495	0.004075
-0.07880000	0.004470	0.004139
-0.07860000	0.004559	0.004152
-0.07840000	0.004667	0.004266
-0.07820000	0.004419	0.004266
-0.07800000	0.004330	0.004234
-0.07780000	0.004667	0.004025
-0.07760000	0.004508	0.004266
-0.07740000	0.004501	0.004075
-0.07720000	0.004444	0.004082
-0.07700000	0.004355	0.004069
-0.07680000	0.004470	0.004152
-0.07660000	0.004571	0.004285
-0.07640000	0.004260	0.004082
-0.07620000	0.004489	0.004145
-0.07600000	0.004463	0.004190
-0.07580000	0.004470	0.004355
-0.07560000	0.004533	0.004094
-0.07540000	0.004330	0.003974
-0.07520000	0.004641	0.004139
-0.07500000	0.004470	0.004158
-0.07480000	0.004374	0.004050
-0.07460000	0.004304	0.004183
-0.07440000	0.004215	0.004164
-0.07420000	0.004597	0.004342
-0.07400000	0.004419	0.004044
-0.07380000	0.004444	0.003986
-0.07360000	0.004412	0.004381
-0.07340000	0.004590	0.004164
-0.07320000	0.004476	0.004438
-0.07300000	0.004438	0.004196
-0.07280000	0.004450	0.003999
-0.07260000	0.004635	0.004050
-0.07240000	0.004419	0.004234
-0.07220000	0.004463	0.004190
-0.07200000	0.004196	0.004215
-0.07180000	0.004266	0.004228
-0.07160000	0.004533	0.003942
-0.07140000	0.004253	0.004228
-0.07120000	0.004419	0.004298
-0.07100000	0.004425	0.004177
-0.07080000	0.004311	0.004056
-0.07060000	0.004450	0.003986
-0.07040000	0.004412	0.004336
-0.07020000	0.004539	0.004018
-0.07000000	0.004444	0.004171
-0.06980000	0.004552	0.004037
-0.06960000	0.004514	0.004272
-0.06940000	0.004444	0.004114
-0.06920000	0.004431	0.004253
-0.06900000	0.004578	0.004120
-0.06880000	0.004514	0.004222
-0.06860000	0.004489	0.004056
-0.06840000	0.004266	0.004190
-0.06820000	0.004482	0.004203
-0.06800000	0.004419	0.004285
-0.06780000	0.004406	0.004158
-0.06760000	0.004482	0.004139
-0.06740000	0.004527	0.003961
-0.06720000	0.004412	0.004114
-0.06700000	0.004533	0.004215
-0.06680000	0.004425	0.004005
-0.06660000	0.004349	0.004253
-0.06640000	0.004482	0.004171
-0.06620000	0.004342	0.004247
-0.06600000	0.004393	0.004190
-0.06580000	0.004635	0.003904
-0.06560000	0.004381	0.004298
-0.06540000	0.004425	0.004177
-0.06520000	0.004381	0.004069
-0.06500000	0.004476	0.004139
-0.06480000	0.004247	0.004164
-0.06460000	0.004368	0.004215
-0.06440000	0.004520	0.004145
-0.06420000	0.004374	0.004330
-0.06400000	0.004533	0.004037
-0.06380000	0.004641	0.003891
-0.06360000	0.004590	0.004228
-0.06340000	0.004495	0.004222
-0.06320000	0.004374	0.004171
-0.06300000	0.004272	0.004304
-0.06280000	0.004463	0.004266
-0.06260000	0.004323	0.004056
-0.06240000	0.004387	0.004075
-0.06220000	0.004533	0.004114
-0.06200000	0.004412	0.004330
-0.06180000	0.004387	0.004145
-0.06160000	0.004457	0.004133
-0.06140000	0.004317	0.004107
-0.06120000	0.004412	0.004285
-0.06100000	0.004323	0.004304
-0.06080000	0.004234	0.003974
-0.06060000	0.004457	0.004190
-0.06040000	0.004292	0.004209
-0.06020000	0.004457	0.004285
-0.06000000	0.004381	0.004120
-0.05980000	0.004431	0.004126
-0.05960000	0.004349	0.004228
-0.05940000	0.004355	0.004330
-0.05920000	0.004330	0.004463
-0.05900000	0.004330	0.004171
-0.05880000	0.004368	0.004101
-0.05860000	0.004571	0.004228
-0.05840000	0.004463	0.004075
-0.05820000	0.004431	0.004183
-0.05800000	0.004412	0.004133
-0.05780000	0.004590	0.004120
-0.05760000	0.004330	0.004247
-0.05740000	0.004431	0.003948
-0.05720000	0.004406	0.004069
-0.05700000	0.004476	0.004133
-0.05680000	0.004571	0.004133
-0.05660000	0.004368	0.004075
-0.05640000	0.004616	0.004063
-0.05620000	0.004495	0.004145
-0.05600000	0.004387	0.004088
-0.05580000	0.004196	0.004005
-0.05560000	0.004336	0.004145
-0.05540000	0.004412	0.004025
-0.05520000	0.004400	0.004241
-0.05500000	0.004686	0.004260
-0.05480000	0.004374	0.004031
-0.05460000	0.004311	0.004031
-0.05440000	0.004323	0.004266
-0.05420000	0.004450	0.003980
-0.05400000	0.004597	0.004190
